"","Features1","Features2","Correlation","Adj.P.value"
"51","arna","mdtnop",0.89604,0
"52","arna","MFSAntibioticEffluxPump",0.89604,0
"53","arna","qnr",0.81128,0
"54","arna","Quninolone_Resistance",0.89604,0
"55","arna","RND_Efflux_Pump",0.68628,0.0143993937097385
"56","arna","Escherichia",0.89604,0
"57","arna","Eubacterium",0.81128,0.0143993937097385
"58","bcr_mfs","bla_c",0.81128,0.0143993937097385
"59","bcr_mfs","Class A Beta-Lactamase",0.69621,0.0143993937097385
"60","bcr_mfs","emrd",0.81128,0.0143993937097385
"61","bcr_mfs","Gene_Modulating_Antibiotic_Efflux",0.81128,0
"62","bcr_mfs","ksga",0.81128,0
"63","bcr_mfs","macab",0.81128,0
"64","bcr_mfs","mdtef",0.81128,0.0143993937097385
"65","bcr_mfs","mdtg",0.81128,0
"66","bcr_mfs","mdth",0.81128,0.0143993937097385
"67","bcr_mfs","mdtl",0.69621,0.0143993937097385
"68","bcr_mfs","mdtnop",0.81128,0
"69","bcr_mfs","MFSAntibioticEffluxPump",0.81128,0.0143993937097385
"70","bcr_mfs","Quninolone_Resistance",0.81128,0
"71","bcr_mfs","RND_Efflux_Pump",0.69621,0.0143993937097385
"72","bcr_mfs","Escherichia",0.68628,0.0143993937097385
"73","bla_c","Gene_Modulating_Antibiotic_Efflux",0.81128,0.0143993937097385
"74","bla_c","ksga",0.81128,0.0143993937097385
"75","bla_c","macab",0.81128,0.0143993937097385
"76","bla_c","mdtg",0.81128,0.0143993937097385
"77","bla_c","mdtnop",0.81128,0.0143993937097385
"78","bla_c","Quninolone_Resistance",0.81128,0.0143993937097385
"79","Class A Beta-Lactamase","ksga",0.69621,0.0359394703656999
"80","Class A Beta-Lactamase","macab",0.69621,0
"81","Class A Beta-Lactamase","mdtg",0.69621,0
"82","Class A Beta-Lactamase","Quninolone_Resistance",0.69621,0
"83","Class A Beta-Lactamase","Tetracycline_Ribosomal_Protection",0.69621,0.0460327074500303
"84","dfra","Gene_Modulating_Antibiotic_Efflux",0.69621,0.0245636716224952
"85","dfra","mdth",0.81128,0
"86","dfra","qnr",0.81128,0.0143993937097385
"87","dfra","sul",0.68628,0.0143993937097385
"88","dfra","Eubacterium",0.81128,0.0143993937097385
"89","dfra","Prevotella",0.65228,0.0143993937097385
"90","emrd","Gene_Modulating_Antibiotic_Efflux",0.95443,0
"91","emrd","ksga",0.81128,0.0245636716224952
"92","emrd","macab",0.89604,0
"93","emrd","mdtef",0.89604,0
"94","emrd","mdtg",0.89604,0
"95","emrd","mdth",0.89604,0
"96","emrd","mdtl",0.81128,0
"97","emrd","mdtm",0.77104,0
"98","emrd","mdtnop",0.89604,0
"99","emrd","MFSAntibioticEffluxPump",0.89604,0
"100","emrd","qnr",0.95443,0
"101","emrd","Quninolone_Resistance",0.89604,0
"102","emrd","RND_Efflux_Pump",0.81128,0
"103","emrd","Tetracycline_Ribosomal_Protection",0.77104,0
"104","emrd","Escherichia",0.95443,0
"105","emrd","Eubacterium",0.72386,0.0143993937097385
"106","Gene_Modulating_Antibiotic_Efflux","ksga",0.81128,0
"107","Gene_Modulating_Antibiotic_Efflux","macab",0.89604,0
"108","Gene_Modulating_Antibiotic_Efflux","mdtef",0.81128,0
"109","Gene_Modulating_Antibiotic_Efflux","mdtg",0.81128,0
"110","Gene_Modulating_Antibiotic_Efflux","mdth",0.82943,0
"111","Gene_Modulating_Antibiotic_Efflux","mdtl",0.69621,0.0143993937097385
"112","Gene_Modulating_Antibiotic_Efflux","mdtm",0.77104,0.0143993937097385
"113","Gene_Modulating_Antibiotic_Efflux","mdtnop",0.81128,0
"114","Gene_Modulating_Antibiotic_Efflux","MFSAntibioticEffluxPump",0.81128,0
"115","Gene_Modulating_Antibiotic_Efflux","qnr",0.95443,0
"116","Gene_Modulating_Antibiotic_Efflux","Quninolone_Resistance",0.81128,0
"117","Gene_Modulating_Antibiotic_Efflux","RND_Efflux_Pump",0.69621,0.0143993937097385
"118","Gene_Modulating_Antibiotic_Efflux","Tetracycline_Ribosomal_Protection",0.69621,0.0143993937097385
"119","Gene_Modulating_Antibiotic_Efflux","Escherichia",0.95443,0
"120","ksga","macab",0.81128,0
"121","ksga","mdtef",0.81128,0
"122","ksga","mdtg",0.81128,0
"123","ksga","mdth",0.81128,0.0143993937097385
"124","ksga","mdtl",0.69621,0.0143993937097385
"125","ksga","mdtnop",0.81128,0
"126","ksga","MFSAntibioticEffluxPump",0.81128,0.0143993937097385
"127","ksga","Quninolone_Resistance",0.81128,0
"128","ksga","RND_Efflux_Pump",0.69621,0.0143993937097385
"129","ksga","Escherichia",0.68628,0.0143993937097385
"130","lnu","Enterococcus",0.69621,0
"131","lnu","Helicobacter",0.69621,0
"132","macab","mdtef",0.81128,0.0143993937097385
"133","macab","mdtg",0.81128,0
"134","macab","mdtnop",0.81128,0
"135","macab","MFSAntibioticEffluxPump",0.81128,0.0143993937097385
"136","macab","qnr",0.77104,0
"137","macab","Quninolone_Resistance",0.81128,0
"138","macab","Tetracycline_Ribosomal_Protection",0.81128,0.0143993937097385
"139","macab","Escherichia",0.77104,0
"140","mdtef","mdtg",0.89604,0
"141","mdtef","mdth",0.89604,0
"142","mdtef","mdtl",0.81128,0
"143","mdtef","mdtm",0.69621,0.0143993937097385
"144","mdtef","mdtnop",0.89604,0
"145","mdtef","MFSAntibioticEffluxPump",0.89604,0
"146","mdtef","qnr",0.81128,0
"147","mdtef","Quninolone_Resistance",0.89604,0
"148","mdtef","RND_Efflux_Pump",0.81128,0
"149","mdtef","Escherichia",0.89604,0
"150","mdtef","Eubacterium",0.81128,0.0143993937097385
"151","mdtg","mdth",0.89604,0
"152","mdtg","mdtl",0.68628,0.0143993937097385
"153","mdtg","mdtm",0.68628,0.0143993937097385
"154","mdtg","mdtnop",0.89604,0
"155","mdtg","MFSAntibioticEffluxPump",0.89604,0
"156","mdtg","qnr",0.81128,0
"157","mdtg","Quninolone_Resistance",0.89604,0
"158","mdtg","RND_Efflux_Pump",0.68628,0.0143993937097385
"159","mdtg","Escherichia",0.89604,0
"160","mdtg","Eubacterium",0.81128,0.0143993937097385
"161","mdth","mdtl",0.68628,0.0460327074500303
"162","mdth","mdtm",0.68628,0.0245636716224952
"163","mdth","mdtnop",0.89604,0
"164","mdth","MFSAntibioticEffluxPump",0.89604,0
"165","mdth","qnr",0.81128,0
"166","mdth","Quninolone_Resistance",0.89604,0
"167","mdth","RND_Efflux_Pump",0.68628,0.0460327074500303
"168","mdth","Escherichia",0.89604,0
"169","mdth","Eubacterium",0.81128,0.0143993937097385
"170","mdtl","mdtnop",0.69621,0.0143993937097385
"171","mdtl","MFSAntibioticEffluxPump",0.81128,0
"172","mdtl","qnr",0.81128,0.0143993937097385
"173","mdtl","Quninolone_Resistance",0.81128,0.0143993937097385
"174","mdtl","RND_Efflux_Pump",0.81128,0
"175","mdtl","Escherichia",0.81128,0
"176","mdtm","MFSAntibioticEffluxPump",0.68628,0.0359394703656999
"177","mdtm","qnr",0.77104,0
"178","mdtm","Escherichia",0.89604,0
"179","mdtnop","MFSAntibioticEffluxPump",0.89604,0
"180","mdtnop","qnr",0.77104,0.0143993937097385
"181","mdtnop","Quninolone_Resistance",0.89604,0
"182","mdtnop","RND_Efflux_Pump",0.69621,0.0143993937097385
"183","mdtnop","Escherichia",0.89604,0
"184","mdtnop","Eubacterium",0.72386,0.0460327074500303
"185","MFSAntibioticEffluxPump","qnr",0.81128,0
"186","MFSAntibioticEffluxPump","Quninolone_Resistance",0.89604,0
"187","MFSAntibioticEffluxPump","RND_Efflux_Pump",0.81128,0
"188","MFSAntibioticEffluxPump","Escherichia",0.89604,0
"189","MFSAntibioticEffluxPump","Eubacterium",0.72386,0.0143993937097385
"194","qnr","Quninolone_Resistance",0.77104,0.0143993937097385
"195","qnr","RND_Efflux_Pump",0.81128,0.0143993937097385
"196","qnr","Tetracycline_Ribosomal_Protection",0.89604,0
"197","qnr","Escherichia",0.95443,0
"198","qnr","Eubacterium",0.81128,0.0143993937097385
"199","Quninolone_Resistance","RND_Efflux_Pump",0.81128,0.0460327074500303
"200","Quninolone_Resistance","Escherichia",0.89604,0
"201","Quninolone_Resistance","Eubacterium",0.72386,0.0143993937097385
"202","RND_Efflux_Pump","Escherichia",0.81128,0
"203","sul","Eubacterium",0.9887,0.0143993937097385
"204","sul","Prevotella",0.82943,0
"205","tet_efflux","Bacteroides",0.78588,0.0143993937097385
"206","tet_efflux","Collinsella",0.77104,0.0460327074500303
"207","tet_rpp","Eubacterium",0.72386,0.0143993937097385
"208","Tetracycline_Ribosomal_Protection","Escherichia",0.81128,0
"209","Tetracycline_Ribosomal_Protection","Lactobacillus",0.69621,0.0143993937097385
"215","Bacteroides","Collinsella",0.8637,0.0143993937097385
"216","Bacteroides","Eubacterium",0.69621,0.0143993937097385
"217","Bacteroides","Faecalibacterium",0.8637,0
"218","Bacteroides","Lachnospira",0.77104,0.0143993937097385
"219","Bacteroides","Roseburia",0.72386,0.0143993937097385
"220","Bifidobacterium","Coprococcus",0.69621,0.0359394703656999
"232","Collinsella","Eubacterium",0.95443,0.0143993937097385
"233","Collinsella","Faecalibacterium",0.77104,0.0143993937097385
"234","Collinsella","Gemmiger",0.69621,0.0245636716224952
"235","Collinsella","Roseburia",0.71692,0
"236","Enterococcus","Helicobacter",0.69621,0
"237","Escherichia","Eubacterium",0.72386,0.0143993937097385
"238","Eubacterium","Faecalibacterium",0.82782,0
"239","Eubacterium","Lachnospira",0.81128,0
"240","Eubacterium","Roseburia",0.89604,0
"241","Faecalibacterium","Lachnospira",0.89604,0
"242","Faecalibacterium","Roseburia",0.81652,0
"245","Gemmiger","Oscillibacter",0.69621,0.0359394703656999
"246","Gemmiger","Parabacteroides",0.69621,0.0359394703656999
"250","Lachnospira","Oscillibacter",0.69621,0.0245636716224952
"251","Lachnospira","Parabacteroides",0.69621,0.0143993937097385
"254","Oscillibacter","Parabacteroides",0.81128,0
